,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
273,"ул. костякова, 11",1962,80,4,5,3540.2,55.813551,37.570222
274,"пр-кт вернадского, 75",1962,158,8,5,7033.0,55.671407,37.506891
275,"ул. ферганская, 14/13",1968,80,1,12,3486.0,55.707278,37.809965
276,"ул. старобитцевская, 17 корпус 3",1992,174,2,22,10025.0,55.575887,37.581532
277,"ул. воронцовские пруды, 3",2004,294,27,31,52241.0,55.664096,37.536517
278,"новикова-прибоя, 3 корпус 2",1991,72,3,7,4058.8,55.783311,37.447899
279,"генерала карбышева б-р, 5 корпус 7",1959,80,4,5,3491.0,55.779474,37.464356
280,"ул. скульптора мухиной, 7",1989,329,6,14,18854.0,55.639344,37.342948
281,"ул. адмирала лазарева, 58",2000,312,6,14,17191.0,55.541428,37.512074
282,"ул. сокольническая слободка, 14/18",1956,66,3,7,1382.1,55.7889,37.675945
283,"пр-кт комсомольский, 5/2",1954,104,5,8,8326.0,55.731916,37.593156
284,"ул. студенческая, 22 корпус 2",1928,36,4,5,2726.0,55.742625,37.548195
285,"ул. ивана франко, 26 корпус 1",1961,220,3,5,3003.0,55.728114,37.428648
286,"ул. большая очаковская, 42 корпус 1",2006,110,3,12,9455.7,55.676834,37.444826
287,"ул. ботаническая, 33 корпус 8",1984,127,1,16,5816.0,55.840214,37.584946
288,"ул. недорубова, 32",2021,231,2,22,10112.7,55.707918,37.93333
289,"ул. академика пилюгина, 12 корпус 1",1982,490,7,18,31487.0,55.668655,37.537523
290,"ул. василисы кожиной, 14 корпус 6",1998,176,4,12,9723.0,55.735971,37.497171
291,"береговой, 7",2008,240,4,16,13466.4,55.754942,37.505121
292,"ш. аминьевское, 26",1971,60,3,5,2474.8,55.716884,37.452803
293,"ул. волочаевская, 14 корпус 3",1982,111,1,16,5273.0,55.756118,37.679655
294,"новодевичий проезд, 10",1961,53,4,8,4796.0,55.729878,37.557529
295,"ул. генерала глаголева, 13 корпус 1",1962,80,4,5,3528.1,55.782486,37.461751
296,"ул. цимлянская, 3 корпус 1",2019,1101,16,17,45349.8,55.670849,37.775442
297,"ул. 8-я соколиной горы, 8",1969,84,1,12,3711.0,55.767529,37.736042
298,"пр-кт волгоградский, 150 корпус 2",1961,80,4,5,3506.6,55.700715,37.790076
