,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city,Flats_per_floor,Street
19175,"ул. штурвальная, 7 корпус 1",1963,64,4,5,2780.0,55.848362,37.445491,moscow,3.2,ул. штурвальная
20629,"ул. жебрунова, 1",1973,239,5,12,12035.7,55.785286,37.679691,moscow,3.983333333333333,ул. жебрунова
34747,"15-я в.о. линия, 78 литер а",1901,7,1,4,388.1,59.945738,30.261709,spb,1.75,15-я в.о. линия
43371,"ул. руднева, 11 литер а",1973,152,10,6,7429.0,60.042316,30.366353,spb,2.533333333333333,ул. руднева
46886,"пр-кт новочеркасский, 47 корпус 2 литер а",1956,103,7,6,7154.81,59.926021,30.412913,spb,2.452380952380952,пр-кт новочеркасский
20661,"пр-кт ленинский, 43 корпус 8",1960,60,3,5,2473.1,55.703221,37.577894,moscow,4.0,пр-кт ленинский
44836,"ул. ленсовета, 95 литер а",1964,80,5,5,3357.8,59.833339,30.347147,spb,3.2,ул. ленсовета
14729,"ш. открытое, 17 корпус 3",1963,60,3,5,2567.0,55.822261,37.750388,moscow,4.0,ш. открытое
27794,"ул. авиаторов, 6 корпус 1",1985,128,2,16,8080.0,55.648093,37.394027,moscow,4.0,ул. авиаторов
25874,"карельский б-р, 23 корпус 1",1964,80,4,5,3412.0,55.896499,37.533984,moscow,4.0,карельский б-р
8983,"ул. красный казанец, 3 корпус 4",1970,139,4,9,4715.9,55.723633,37.808006,moscow,3.861111111111111,ул. красный казанец
9896,"графский пер., 12",1967,48,3,5,1966.0,55.802659,37.640569,moscow,3.2,графский пер.
8468,"ул. садовническая, 82 строение 11",1959,36,2,6,1887.7,55.737248,37.641737,moscow,3.0,ул. садовническая
39334,"ул. беломорская, 16 литер а",1967,45,1,10,1968.4,59.975261,30.507227,spb,4.5,ул. беломорская
829,"ул. перовская, 66 корпус 4",2014,208,4,15,14349.0,55.744475,37.79976,moscow,3.466666666666667,ул. перовская
11936,"ул. дубосековская, 7",1957,32,2,5,1889.3,55.811128,37.497818,moscow,3.2,ул. дубосековская
34352,"реки пряжки наб., 18-20 литер а",1890,16,2,5,1662.6,59.92465,30.281858,spb,1.6,реки пряжки наб.
22699,"ул. первомайская, 97",1961,60,3,5,2600.0,55.793865,37.807548,moscow,4.0,ул. первомайская
38281,"пр-кт ленинский, 119 корпус 2 литер а",1962,70,7,5,3160.1,59.850662,30.257954,spb,2.0,пр-кт ленинский
5495,"пятницкое, 16 корпус 4",1997,209,4,16,13381.0,55.842524,37.387774,moscow,3.265625,пятницкое
41039,"яковлевский пер., 3 литер а",1937,50,5,5,3909.0,59.874702,30.325597,spb,2.0,яковлевский пер.
9753,"ул. косыгина, 7",1967,110,1,16,6090.0,55.70631,37.569791,moscow,6.875,ул. косыгина
43254,"пр-кт тихорецкий, 12 корпус 3 литер п",1963,80,4,5,3455.15,60.014018,30.366892,spb,4.0,пр-кт тихорецкий
47588,"пр-кт лабораторный, 27 литер а",1959,29,3,3,1486.5,59.983482,30.389404,spb,3.222222222222222,пр-кт лабораторный
33540,"пр-кт малый п.с., 26-28 литер а",1910,39,6,6,4693.41,59.956737,30.294012,spb,1.0833333333333333,пр-кт малый п.с.
47432,"ул. шателена, 2 корпус 2 литер р",1965,80,4,5,3398.72,60.001073,30.363919,spb,4.0,ул. шателена
15797,"ул. новощукинская, 14",1965,84,1,12,3618.4,55.806186,37.453818,moscow,7.0,ул. новощукинская
21954,"ул. флотская, 33",1968,80,4,5,3519.2,55.863475,37.51671,moscow,4.0,ул. флотская
4262,"сибирский проезд, 2 строение 4",1917,24,2,4,1959.0,55.732099,37.681272,moscow,3.0,сибирский проезд
36810,"тер. фарфоровский пост, 40 литер а",1933,8,1,2,535.7,59.879593,30.406382,spb,4.0,тер. фарфоровский пост
17354,"ул. липецкая, 20",1973,359,4,12,16939.0,55.594204,37.670905,moscow,7.479166666666667,ул. липецкая
37559,"ул. партизана германа, 9 корпус 3 литер а",1969,139,7,5,6923.42,59.841649,30.171132,spb,3.971428571428572,ул. партизана германа
38315,"канала грибоедова наб., 109/8 литер б",1833,5,1,6,282.1,59.924902,30.300444,spb,0.8333333333333334,канала грибоедова наб.
22725,"котельническая наб., 1/15 корпус а",1952,234,9,13,17420.0,55.745787,37.642743,moscow,2.0,котельническая наб.
41557,"ул. маринеско, 1 литер а",1951,60,4,5,4278.21,59.87024,30.263586,spb,3.0,ул. маринеско
21773,"ул. вилиса лациса, 13 корпус 1",1980,91,2,12,4130.2,55.863899,37.425495,moscow,3.7916666666666665,ул. вилиса лациса
18652,"пр-кт волгоградский, 32/3 корпус 1",2021,261,1,30,13385.8,55.71948,37.694423,moscow,8.7,пр-кт волгоградский
9214,"ул. 1-я бебеля, 3",1963,80,4,5,3491.0,55.792817,37.572172,moscow,4.0,ул. 1-я бебеля
38527,"ул. гданьская, 19 литер а",1959,72,5,5,4563.5,60.015979,30.332074,spb,2.88,ул. гданьская
11375,"пр-кт рязанский, 19 корпус 2",1960,60,3,5,2445.0,55.731161,37.744091,moscow,4.0,пр-кт рязанский
49852,"ул. мира (самосырово), 9",1955,16,2,2,734.9,55.86643,49.23101,kazan,4.0,ул. мира (самосырово)
16519,"ул. петра романова, 8",1962,60,3,5,2569.6,55.707344,37.681559,moscow,4.0,ул. петра романова
48053,"пр-кт вознесенский, 47 литер а",1822,57,5,5,4156.2,59.92171,30.30764,spb,2.28,пр-кт вознесенский
32088,"пр-кт рыбацкий, 7 литер а",1924,140,1,1,7868.6,59.844108,30.488938,spb,140.0,пр-кт рыбацкий
32553,"пр-кт нарвский, 16 литер а",1913,178,4,6,4362.12,59.903711,30.274222,spb,7.416666666666667,пр-кт нарвский
