,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city
39503,"пр-кт энгельса, 36 литер а",1953,49,5,4,3248.1,60.008833,30.324995,spb
43619,"пр-кт скобелевский, 16 литер а",1952,33,4,4,2610.6,60.017746,30.316183,spb
21392,"п. филимонковское, ул. харлампиева, 22 корпус 1",2021,44,1,4,1334.0,55.552194,37.325359,moscow
37524,"пр-кт народного ополчения, 227 литер а",1970,118,6,5,5284.55,59.825253,30.161295,spb
17466,"ул. госпитальный вал, 5 строение 3",2001,95,2,12,5462.5,55.773819,37.709138,moscow
11967,"бескудниковский б-р, 23 корпус 1",1992,112,1,15,5876.7,55.867647,37.556433,moscow
49685,"ул. модельная, 8",1989,58,4,5,1479.3,55.748503,49.140595,kazan
21427,"пр-кт севастопольский, 7 корпус 6",1966,110,4,5,3397.6,55.69041,37.611248,moscow
47567,"ул. профессора попова, 40 литер а",1962,11,2,5,1967.54,59.970447,30.290634,spb
49562,"ул. рихарда зорге, 84",1987,180,5,9,10151.2,55.744642,49.215002,kazan
42337,"ул. пасторова, 6 литер а",1841,12,3,3,937.59,59.920483,30.291021,spb
22057,"ул. наримановская, 32",1961,119,6,5,1284.0,55.815863,37.709434,moscow
39392,"ул. фурштатская, 30 литер а",1863,9,2,3,287.8,59.94545,30.356706,spb
9768,"ул. полины осипенко, 22 корпус 2",2001,134,2,17,7586.0,55.781388,37.527714,moscow
31428,"янтарный проезд, 15",1961,56,3,5,2374.0,55.869076,37.683419,moscow
9126,"ул. ясногорская, 13 корпус 1",1984,252,1,22,12860.0,55.604336,37.534793,moscow
46486,"ул. геологическая, 75 корпус 3 литер а",2001,40,1,5,2112.9,59.753097,30.079018,spb
24290,"ул. челябинская, 6",1975,379,8,12,17404.0,55.776132,37.823646,moscow
22730,"ш. алтуфьевское, 82",1984,685,8,22,42750.0,55.894318,37.588826,moscow
20836,"ул. магаданская, 12",1965,64,4,5,2687.0,55.879308,37.684829,moscow
620,"ул. станиславского, 11",2009,54,5,6,6768.4,55.744774,37.659865,moscow
40086,"горелово, ш. красносельское, 38 литер а",1968,70,7,5,3124.0,59.786482,30.145997,spb
32189,"пр-кт литейный, 11 литер а",1873,95,6,5,7100.0,59.945125,30.348342,spb
12144,"ш. хорошевское, 1",1956,99,8,5,7271.4,55.773105,37.543524,moscow
39750,"ул. некрасова, 41 литер а",1880,19,3,4,1268.7,59.938428,30.364332,spb
3824,"ул. чесменская, 5",1959,30,3,5,2666.0,55.734785,37.696795,moscow
39196,"ул. брянцева, 22 литер а",1971,133,9,5,6294.01,60.040164,30.405897,spb
36648,"ул. афанасьевская, 3 строение 1",2016,1,3,5,3159.6,60.033009,30.293024,spb
7653,"ул. южнобутовская, 107",1996,152,8,9,9631.0,55.534204,37.519342,moscow
14895,"ул. затонная, 7 корпус 1",1967,128,4,9,5462.4,55.680057,37.684425,moscow
36652,"пр-кт ветеранов, 95 литер а",1969,248,5,9,11233.1,59.833633,30.207558,spb
12029,"ул. люблинская, 50 строение 1",1963,93,5,5,4020.3,55.679377,37.737929,moscow
49263,"ул. клары цеткин, 9",1996,85,1,14,4678.2,55.798677,49.061929,kazan
45689,"ул. седова, 24 корпус 3 литер а",2012,342,2,23,18001.1,59.894919,30.413335,spb
1214,"ул. плющиха, 9 строение 4",1935,45,4,5,2195.0,55.744526,37.58058,moscow
34253,"пр-кт луначарского, 19 корпус 1 литер а",1977,403,11,9,23025.99,60.041296,30.337553,spb
43334,"ул. черкасова, 11 корпус 1 литер а",1970,179,5,9,9500.76,60.026222,30.42301,spb
14998,"ул. ключевая, 24 корпус 1",1996,306,6,14,16807.5,55.63098,37.763764,moscow
37879,"ул. ленская, 5 литер а",1983,52,1,15,5957.2,59.940673,30.48229,spb
1905,"ул. первомайская, 121",1958,63,5,5,4443.0,55.793844,37.821499,moscow
13079,"ул. петра романова, 6",1963,224,7,9,9729.4,55.708308,37.68067,moscow
20012,"ул. севанская, 3",1970,215,6,9,10643.7,55.618995,37.664006,moscow
49766,"ул. курская, 11",2002,13,1,6,1549.9,55.789613,49.177911,kazan
9438,"брюсов пер., 19",2007,26,1,8,6490.4,55.759973,37.608077,moscow
15417,"окружной проезд, 14 корпус 2",1960,45,3,5,2413.3,55.7902,37.741836,moscow
35771,"ул. маршала говорова, 6/5 литер а",1958,69,1,5,4400.11,59.875637,30.263604,spb
10305,"ул. бехтерева, 37 корпус 2",1968,84,1,12,3621.0,55.620804,37.648367,moscow
43907,"ул. декабристов, 54 литер б",1909,33,5,7,4156.12,59.924046,30.287122,spb
41172,"ковенский пер., 23 литер а",1911,15,3,7,2446.0,59.937157,30.362095,spb
44974,"пр-кт народного ополчения, 221 литер а",1971,250,7,9,12930.76,59.824923,30.169676,spb
15442,"пр-кт маршала жукова, 22 корпус 4",1983,66,1,12,3356.0,55.777393,37.484217,moscow
21786,"ш. алтуфьевское, 60",1980,276,6,12,15689.8,55.882823,37.587937,moscow
38570,"пр-кт лермонтовский, 3 литер в",1872,13,3,5,2246.31,59.924095,30.289871,spb
12469,"сретенский б-р, 6/1 строение 2",1901,42,7,5,5774.8,55.765924,37.634982,moscow
22180,"ул. академика понтрягина, 11",2006,184,4,14,10171.0,55.534658,37.500953,moscow
15466,"ул. фабрициуса, 19 корпус 1",1958,24,2,3,1532.0,55.843338,37.435178,moscow
30168,"ул. трофимова, 18",1967,111,1,16,6103.1,55.702409,37.671768,moscow
18020,"петровско-разумовский проезд, 12",1958,75,5,5,3938.0,55.795757,37.569566,moscow
46956,"пр-кт обуховской обороны, 87 литер а",1917,16,2,6,1613.45,59.899613,30.428409,spb
18650,"ул. мневники, 12",1968,215,6,9,10648.6,55.773824,37.490362,moscow
10163,"ул. икшинская, 10",1963,80,4,5,3417.0,55.886115,37.538548,moscow
22601,"ул. гришина, 25",1966,64,4,5,2751.0,55.725448,37.414194,moscow
20796,"ул. 1-я дубровская, 4",1927,56,5,6,3679.2,55.727298,37.668983,moscow
39532,"пл. чернышевского, 5 литер а",1954,52,2,7,3401.3,59.869268,30.317485,spb
19218,"ул. бойцовая, 14 корпус 2",1962,60,3,5,2527.0,55.812322,37.719944,moscow
19035,"ул. молодогвардейская, 1 корпус 2",1970,480,6,9,10716.1,55.732524,37.441916,moscow
36636,"ул. благодатная, 5 литер а",1960,100,5,5,4183.0,59.874657,30.300354,spb
10277,"ул. самотечная, 13",1963,65,1,9,2340.0,55.777515,37.617518,moscow
830,"ул. шоссейная, 29 корпус 1",1969,81,1,12,3464.1,55.682336,37.724948,moscow
33360,"ул. лодейнопольская, 2 литер а",1962,115,6,5,5133.25,59.964124,30.288559,spb
30642,"ул. нагатинская, 11 корпус 1",1970,80,1,12,3487.7,55.680194,37.639312,moscow
42218,"ул. олеко дундича, 35 корпус 1 литер а",1983,428,6,12,23254.62,59.833787,30.42328,spb
36910,"ул. бронницкая, 28 литер а",1908,9,1,7,647.8,59.913537,30.323827,spb
7512,"ул. 11-я текстильщиков, 4",1961,60,3,5,2428.2,55.706188,37.740947,moscow
48830,"ул. гагарина, 4а",1959,20,10,2,642.6,55.84076,49.098976,kazan
47870,"ул. калязинская, 3 литер а",1952,14,2,3,775.0,60.015529,30.321806,spb
6295,"ул. газопровод, 3 корпус 1",1973,855,8,12,34947.5,55.592378,37.604232,moscow
26154,"ул. 2-я парковая, 4",1958,40,2,5,1565.5,55.788748,37.781353,moscow
23150,"ул. ботаническая, 19",1960,76,4,5,3184.0,55.828101,37.601088,moscow
29574,"ул. кастанаевская, 45 корпус 1",2008,228,3,20,10493.2,55.731653,37.465703,moscow
41014,"ул. благодатная, 17 литер а",1960,100,5,5,4189.0,59.874797,30.303696,spb
15073,"тишинский ср. пер., 16",1984,106,1,12,2967.0,55.770284,37.577939,moscow
1953,"ул. курганская, 12",1990,110,2,14,4996.3,55.829461,37.823376,moscow
476,"ул. футбольная, 24",2013,33,3,3,1575.7,55.51407,37.373455,moscow
6292,"ясный проезд, 13",1979,168,3,12,9465.0,55.874223,37.621184,moscow
5368,"ул. нагорная, 24 корпус 2",1958,20,1,5,1761.0,55.67826,37.601196,moscow
4008,"ул. менжинского, 32 корпус 3",1981,128,2,16,8016.9,55.870157,37.665938,moscow
32018,"ул. декабристов, 9 литер а",1880,22,3,7,1800.89,59.928631,30.304585,spb
49664,"ул. аметьевская магистраль, 16 корпус 2",2019,242,1,24,10390.3,55.768025,49.173824,kazan
26376,"большой сухаревский пер., 6",1914,42,2,7,2885.5,55.770426,37.62687,moscow
31721,"обводного канала наб., 132 литер а",1904,245,4,6,6907.71,59.908529,30.291488,spb
