,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
289,"актерский проезд, 6 литер а",2014,342,2,27,24048.7,60.043696,30.370863
290,"пр-кт гражданский, 122 корпус 6 литер а",2003,79,2,9,4889.7,60.037984,30.420441
291,"ш. революции, 51 литер а",1958,10,4,3,851.65,59.960269,30.449771
292,"обводного канала наб., 132 литер а",1904,245,4,6,6907.71,59.908529,30.291488
293,"канала грибоедова наб., 15 литер а",1798,32,5,4,2968.7,59.936697,30.326414
294,"ул. косинова, 14 корпус 2 литер а",1929,60,6,5,3938.48,59.896192,30.273791
295,"ул. тельмана, 43 корпус 4 литер а",1986,214,6,9,11900.36,59.888952,30.485075
296,"ул. тамбовская, 13 литер а",1901,42,5,6,3165.92,59.913041,30.353759
297,"ул. маршала захарова, 60 литер а",1985,808,10,16,43895.5,59.850436,30.21187
298,"ул. ординарная, 10 литер а",1905,10,3,6,1292.6,59.9653,30.307586
299,"ул. боровая, 88 литер а",1903,13,1,6,1549.53,59.910681,30.340949
300,"ш. петергофское, 13 корпус 2 литер а",1981,143,3,12,7319.5,59.848321,30.190023
301,"пр-кт пискаревский, 37 литер а",1969,156,1,12,6588.7,59.977832,30.420675
302,"ул. дибуновская, 69 литер а",1961,80,4,5,3434.6,59.985386,30.257594
303,"тер. большая каменка, 2а литер а",1968,2,1,1,78.6,60.045066,30.174887
304,"поликарпова аллея, 5 литер а",1976,680,19,9,33953.0,60.008878,30.289485
305,"морская наб., 29 литер а",1999,114,3,15,8613.9,59.958453,30.21558
306,"пр-кт стачек, 8а литер а",1954,9,3,4,3005.64,59.899166,30.276881
307,"пр-кт шаумяна, 47 литер а",1961,80,4,5,3558.64,59.928257,30.417135
308,"ул. пионерская, 48 литер а",1901,13,1,4,574.06,59.963881,30.274716
309,"ул. бухарестская, 31 корпус 4 литер а",1967,118,6,5,5400.15,59.865343,30.381553
310,"пр-кт большой п.с., 16/1 литер а",1901,27,5,5,3888.72,59.954912,30.29403
311,"ул. будапештская, 38 корпус 7 литер а",1966,90,9,5,6019.38,59.860988,30.383017
312,"ул. малая подьяческая, 6 литер б",1883,12,1,6,901.2,59.926179,30.302645
313,"ул. верности, 40 литер а",1966,134,9,5,5996.99,60.001505,30.425894
314,"пр-кт лиговский, 76 литер б",1882,6,1,4,612.03,59.921737,30.356041
315,"пр-кт индустриальный, 36 литер а",1981,359,5,12,18325.4,59.952466,30.46895
316,"ул. васенко, 5/15 литер а",1961,80,4,5,3453.75,59.970006,30.392108
317,"ул. верейская, 26 литер а",1869,15,1,5,962.1,59.915292,30.327034
318,"ул. краснопутиловская, 14/12 литер а",1957,96,7,5,6701.34,59.872593,30.265733
319,"пр-кт комендантский, 28 корпус 1 литер а",1993,254,2,17,13579.6,60.014005,30.250516
320,"пр-кт шлиссельбургский, 45 литер а",1986,336,4,14,16828.81,59.832294,30.515016
321,"пр-кт шаумяна, 77 литер а",1960,80,4,5,3569.93,59.923126,30.423684
322,"ул. казанская, 58 литер а",2006,39,2,8,3788.6,59.9275,30.306615
323,"ул. мира, 1/9 литер а",1898,32,2,5,2364.0,59.958953,30.313191
324,"пр-кт сизова, 14 литер а",1993,176,3,12,10940.7,60.005711,30.271725
325,"пр-кт славы, 30 корпус 5 литер а",1965,90,6,5,4010.0,59.860179,30.386305
326,"пр-кт энгельса, 14 литер б",1947,7,4,2,457.7,60.000839,30.328049
327,"ул. архивная, 7 строение 1",2019,598,3,24,29307.6,59.902298,30.44616
328,"ул. рубинштейна, 26 литер б",1822,11,1,5,1402.09,59.92915,30.345486
329,"ш. рябовское, 123 корпус 2 литер а",1992,60,3,5,2948.7,59.985939,30.522867
330,"ул. межозерная, 9 литер а",2008,18,6,3,2723.3,60.046625,30.303615
331,"пр-кт большой п.с., 63 литер б",1897,19,2,5,1298.84,59.963426,30.309409
332,"пр-кт константиновский, 3 литер а",1916,10,1,3,750.9,59.971821,30.274465
333,"ул. наличная, 37 корпус 4 литер г",1970,80,4,5,3476.15,59.942142,30.236331
334,"15-я в.о. линия, 62 литер а",1912,56,4,6,3783.9,59.943174,30.264493
335,"ул. челябинская, 55 литер а",1960,48,3,4,2039.9,59.984746,30.502556
336,"ш. выборгское, 17 корпус 4 литер а",2008,197,1,23,10237.1,60.054981,30.311323
337,"пр-кт энтузиастов, 18 корпус 1 литер а",1979,492,13,9,24894.0,59.945621,30.465851
338,"пр-кт кондратьевский, 66 корпус 1 литер а",2006,179,1,17,9775.8,59.98205,30.3958
339,"ул. седова, 38 литер в",1954,32,4,4,2408.96,59.89069,30.419201
340,"пр-кт большой п.с., 13/4 литер а",1901,31,7,5,4265.92,59.955291,30.295485
341,"ул. 4-я красноармейская, 13 литер а",1852,6,2,4,589.4,59.914001,30.31241
342,"12-я в.о. линия, 35 литер а",1917,75,5,5,5465.6,59.942196,30.269991
343,"ул. бабушкина, 89 корпус 3 литер у",1961,80,4,5,3505.21,59.870267,30.446816
344,"ул. социалистическая, 6 литер а",1873,60,6,4,4414.9,59.923946,30.340742
345,"ул. ленсовета, 13 литер а",1962,40,2,5,1863.0,59.854517,30.329154
346,"ул. задворная, 8 литер а",1950,8,1,3,457.1,59.897564,30.359526
347,"пр-кт гражданский, 123 корпус 1 литер а",1971,251,7,9,12805.5,60.037081,30.423729
348,"ул. котина, 6 корпус 1 литер а",1991,177,3,12,10954.9,59.857274,30.210828
349,"пр-кт средний в.о., 51 литер в",1953,1281,2,6,1281.0,59.941349,30.271707
350,"пр-кт средний в.о., 75 литер а",1917,14,2,3,891.1,59.939068,30.263424
351,"пр-кт малоохтинский, 86а корпус 2 литер а",1954,51,4,5,3426.5,59.939032,30.406454
352,"ул. стремянная, 5 литер а",1916,15,1,4,1371.8,59.930994,30.349932
353,"пр-кт энгельса, 43 литер в",1951,26,3,4,2008.9,60.013213,30.324195
354,"пр-кт новочеркасский, 27 корпус 2 литер а",1962,80,4,5,3473.4,59.93493,30.405071
355,"пр-кт кондратьевский, 41 корпус 1 литер а",1972,18,1,5,773.59,59.972001,30.38847
356,"ул. авангардная, 51 литер а",1972,39,2,5,2529.7,59.826149,30.18378
357,"пр-кт гражданский, 107 корпус 2 литер а",1970,90,6,5,4330.08,60.027283,30.415357
358,"ул. кубинская, 70 корпус 3 литер а",1968,71,7,5,3127.28,59.850586,30.294434
359,"ул. петра смородина, 18 литер а",1968,134,9,5,6250.0,59.958724,30.443501
360,"пр-кт невский, 182 литер а",1890,30,5,6,1695.7,59.924596,30.383421
361,"ул. аэродромная, 7 корпус 3 литер а",1976,28,1,16,5658.57,59.998256,30.293096
362,"ул. подольская, 19 литер а",1899,20,3,5,1645.2,59.915855,30.324034
363,"ул. шевченко, 33 литер а",1960,40,2,5,1601.8,59.939582,30.240931
364,"ул. наличная, 11 литер а",1954,38,3,7,2266.79,59.931972,30.236861
365,"ул. большая зеленина, 21 литер б",1902,10,1,5,556.3,59.963165,30.2905
366,"9-я в.о. линия, 26 литер а",1900,30,4,4,1945.91,59.940222,30.277456
367,"ул. типанова, 4 литер а",1958,97,5,7,7407.0,59.850676,30.326576
368,"ул. антонова-овсеенко, 1 корпус 2 литер а",1979,235,2,15,5687.12,59.904812,30.458026
369,"пр-кт волковский, 18 литер а",1950,7,1,3,381.6,59.898715,30.359652
370,"пр-кт большеохтинский, 25/5 литер а",1897,30,3,4,2172.39,59.953317,30.410721
371,"пр-кт малый п.с., 20 литер а",1910,21,4,5,1665.41,59.955701,30.292386
372,"пр-кт средний в.о., 19 литер а",1917,32,6,4,2436.2,59.944337,30.282011
373,"ул. трефолева, 22/25 литер а",1968,156,5,6,7548.75,59.890681,30.26974
374,"пр-кт художников, 19 корпус 1 литер а",1974,208,4,9,9581.1,60.041179,30.350301
375,"ул. крупской, 49 литер а",1961,60,3,5,2538.33,59.887878,30.418761
376,"ул. марата, 35 литер а",1864,37,3,6,3441.35,59.925768,30.351558
377,"пр-кт энгельса, 109 корпус 3 литер а",1980,59,1,12,3264.5,60.032492,30.323674
378,"ул. подольская, 26 литер б",1900,6,1,5,208.0,59.914904,30.326127
379,"ул. камышинская, 2 литер а",1957,8,2,2,439.2,59.971317,30.512958
380,"пр-кт науки, 5 литер а",1964,80,4,5,2333.0,60.016208,30.3723
381,"ш. петергофское, 76 корпус 1 литер а",1962,18,2,3,802.9,59.846825,30.118733
382,"пр-кт юрия гагарина, 20 корпус 4 литер а",1963,118,6,5,5388.9,59.858444,30.341174
383,"пр-кт большевиков, 57 корпус 1 литер у",1963,90,6,5,4094.56,59.882997,30.486943
384,"серебристый б-р, 26 литер а",1976,537,15,9,26835.3,60.009494,30.281364
385,"ул. сибирская, 16 литер а",2013,186,2,15,9876.3,59.984908,30.407442
386,"пр-кт лиговский, 83 литер а",1850,7,1,4,979.49,59.924609,30.35649
387,"ул. воронежская, 15-17 литер а",1916,37,1,5,1811.26,59.916568,30.347848
388,"пр-кт большой п.с., 63 литер а",1904,15,2,6,1286.8,59.96362,30.308987
